macros,positive frequency,length
('light_match_m1'  'mend_fuse_f1'),13,2
('mend_fuse_f1'  'mend_fuse_f1'),13,2
('mend_fuse_f1'  'light_match_m1'),13,2
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'),13,3
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),13,3
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),13,4
('light_match_m2'  'mend_fuse_f2'),29,2
('mend_fuse_f2'  'mend_fuse_f2'),29,2
('mend_fuse_f2'  'light_match_m2'),29,2
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),29,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),29,3
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),29,4
('light_match_m3'  'mend_fuse_f3'),38,2
('mend_fuse_f3'  'mend_fuse_f3'),43,2
('mend_fuse_f3'  'light_match_m3'),38,2
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),38,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),38,3
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),38,4
('light_match_m4'  'mend_fuse_f4'),43,2
('mend_fuse_f4'  'mend_fuse_f4'),47,2
('mend_fuse_f4'  'light_match_m4'),43,2
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),43,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),43,3
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),43,4
('light_match_m9'  'mend_fuse_f9'),29,2
('mend_fuse_f9'  'mend_fuse_f9'),77,2
('mend_fuse_f9'  'light_match_m9'),29,2
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),29,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),29,3
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),29,4
('light_match_m10'  'mend_fuse_f10'),64,2
('mend_fuse_f10'  'mend_fuse_f10'),75,2
('mend_fuse_f10'  'light_match_m10'),64,2
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),64,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),64,3
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),64,4
('light_match_m11'  'mend_fuse_f11'),12,2
('mend_fuse_f11'  'mend_fuse_f11'),79,2
('mend_fuse_f11'  'light_match_m11'),12,2
('light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'),12,3
('mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'),12,3
('light_match_m11'  'mend_fuse_f11'  'mend_fuse_f11'  'light_match_m11'),12,4
('light_match_m12'  'mend_fuse_f12'),25,2
('mend_fuse_f12'  'mend_fuse_f12'),83,2
('mend_fuse_f12'  'light_match_m12'),25,2
('light_match_m12'  'mend_fuse_f12'  'mend_fuse_f12'),25,3
('mend_fuse_f12'  'mend_fuse_f12'  'light_match_m12'),25,3
('light_match_m12'  'mend_fuse_f12'  'mend_fuse_f12'  'light_match_m12'),25,4
('light_match_m14'  'mend_fuse_f14'),76,2
('mend_fuse_f14'  'mend_fuse_f14'),81,2
('mend_fuse_f14'  'light_match_m14'),76,2
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'),76,3
('mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),76,3
('light_match_m14'  'mend_fuse_f14'  'mend_fuse_f14'  'light_match_m14'),76,4
('light_match_m16'  'mend_fuse_f16'),73,2
('mend_fuse_f16'  'mend_fuse_f16'),77,2
('mend_fuse_f16'  'light_match_m16'),73,2
('light_match_m16'  'mend_fuse_f16'  'mend_fuse_f16'),73,3
('mend_fuse_f16'  'mend_fuse_f16'  'light_match_m16'),73,3
('light_match_m16'  'mend_fuse_f16'  'mend_fuse_f16'  'light_match_m16'),73,4
('light_match_m19'  'mend_fuse_f19'),77,2
('mend_fuse_f19'  'mend_fuse_f19'),83,2
('mend_fuse_f19'  'light_match_m19'),77,2
('light_match_m19'  'mend_fuse_f19'  'mend_fuse_f19'),77,3
('mend_fuse_f19'  'mend_fuse_f19'  'light_match_m19'),77,3
('light_match_m19'  'mend_fuse_f19'  'mend_fuse_f19'  'light_match_m19'),77,4
('light_match_m21'  'mend_fuse_f21'),67,2
('mend_fuse_f21'  'mend_fuse_f21'),85,2
('mend_fuse_f21'  'light_match_m21'),67,2
('light_match_m21'  'mend_fuse_f21'  'mend_fuse_f21'),67,3
('mend_fuse_f21'  'mend_fuse_f21'  'light_match_m21'),67,3
('light_match_m21'  'mend_fuse_f21'  'mend_fuse_f21'  'light_match_m21'),67,4
('light_match_m22'  'mend_fuse_f22'),76,2
('mend_fuse_f22'  'mend_fuse_f22'),81,2
('mend_fuse_f22'  'light_match_m22'),76,2
('light_match_m22'  'mend_fuse_f22'  'mend_fuse_f22'),76,3
('mend_fuse_f22'  'mend_fuse_f22'  'light_match_m22'),76,3
('light_match_m22'  'mend_fuse_f22'  'mend_fuse_f22'  'light_match_m22'),76,4
('light_match_m23'  'mend_fuse_f23'),68,2
('mend_fuse_f23'  'mend_fuse_f23'),85,2
('mend_fuse_f23'  'light_match_m23'),68,2
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'),68,3
('mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),68,3
('light_match_m23'  'mend_fuse_f23'  'mend_fuse_f23'  'light_match_m23'),68,4
('light_match_m24'  'mend_fuse_f24'),73,2
('mend_fuse_f24'  'mend_fuse_f24'),79,2
('mend_fuse_f24'  'light_match_m24'),73,2
('light_match_m24'  'mend_fuse_f24'  'mend_fuse_f24'),73,3
('mend_fuse_f24'  'mend_fuse_f24'  'light_match_m24'),73,3
('light_match_m24'  'mend_fuse_f24'  'mend_fuse_f24'  'light_match_m24'),73,4
('light_match_m25'  'mend_fuse_f25'),61,2
('mend_fuse_f25'  'mend_fuse_f25'),69,2
('mend_fuse_f25'  'light_match_m25'),61,2
('light_match_m25'  'mend_fuse_f25'  'mend_fuse_f25'),61,3
('mend_fuse_f25'  'mend_fuse_f25'  'light_match_m25'),61,3
('light_match_m25'  'mend_fuse_f25'  'mend_fuse_f25'  'light_match_m25'),61,4
('light_match_m26'  'mend_fuse_f26'),62,2
('mend_fuse_f26'  'mend_fuse_f26'),63,2
('mend_fuse_f26'  'light_match_m26'),62,2
('light_match_m26'  'mend_fuse_f26'  'mend_fuse_f26'),62,3
('mend_fuse_f26'  'mend_fuse_f26'  'light_match_m26'),62,3
('light_match_m26'  'mend_fuse_f26'  'mend_fuse_f26'  'light_match_m26'),62,4
