macros,positive frequency,length
('load_at_depot_r0_b0'  'move_r0_p0'),22,2
('move_r0_p0'  'move_r0_p0'),97,2
('move_r0_p0'  'make_treatment_r0_b0_p0'),78,2
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),35,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'),83,2
('load_r0_b0_p0'  'load_r0_b0_p0'),80,2
('load_r0_b0_p0'  'make_treatment_r0_b0_p0'),38,2
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'),21,3
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),67,3
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),30,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),35,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),79,3
('load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),38,3
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),21,4
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),26,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),30,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),34,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),38,4
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),21,5
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),26,5
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),29,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),11,5
('load_at_depot_r1_b0'  'move_r1_p0'),2,2
('move_r1_p0'  'move_r1_p0'),20,2
('move_r1_p0'  'make_treatment_r1_b0_p0'),4,2
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),3,2
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'),6,2
('load_r1_b0_p0'  'load_r1_b0_p0'),6,2
('load_r1_b0_p0'  'make_treatment_r1_b0_p0'),4,2
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'),1,3
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),4,3
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),1,3
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),3,3
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),6,3
('load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),4,3
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'),1,4
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),1,4
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),1,4
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),3,4
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),4,4
('load_at_depot_r1_b0'  'move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),1,5
('move_r1_p0'  'move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'),1,5
('move_r1_p0'  'make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'),1,5
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'  'load_r1_b0_p0'  'load_r1_b0_p0'  'make_treatment_r1_b0_p0'),3,5
('load_at_depot_r0_b0'  'move_r0_p1'),21,2
('move_r0_p1'  'move_r0_p1'),104,2
('move_r0_p1'  'make_treatment_r0_b0_p1'),87,2
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),38,2
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'),93,2
('load_r0_b0_p1'  'load_r0_b0_p1'),91,2
('load_r0_b0_p1'  'make_treatment_r0_b0_p1'),50,2
('load_at_depot_r0_b0'  'move_r0_p1'  'move_r0_p1'),21,3
('move_r0_p1'  'move_r0_p1'  'make_treatment_r0_b0_p1'),68,3
('move_r0_p1'  'make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'),34,3
('make_treatment_r0_b0_p1'  'make_treatment_r0_b0_p1'  'load_r0_b0_p1'),38,3
('make_treatment_r0_b0_p1'  'load_r0_b0_p1'  'load_r0_b0_p1'),89,3
