macros,positive frequency,length
('load_at_depot_r0_b0'  'move_r0_p0'),24,2
('move_r0_p0'  'move_r0_p0'),83,2
('move_r0_p0'  'make_treatment_r0_b0_p0'),46,2
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),33,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'),50,2
('load_r0_b0_p0'  'load_r0_b0_p0'),48,2
('load_r0_b0_p0'  'make_treatment_r0_b0_p0'),22,2
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'),24,3
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),40,3
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),29,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),33,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),48,3
('load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),22,3
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),23,4
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),27,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),29,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),31,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),22,4
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),23,5
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),27,5
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),27,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),12,5
('load_r0_b0_p0'  'move_r0_DEPOT'),3,2
('move_r0_DEPOT'  'move_r0_DEPOT'),54,2
('move_r0_DEPOT'  'make_treatment_r0_b0_p0'),3,2
('load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),3,3
('load_r0_b0_p0'  'move_r0_DEPOT'  'move_r0_DEPOT'),1,3
('move_r0_DEPOT'  'move_r0_DEPOT'  'make_treatment_r0_b0_p0'),1,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),3,4
