macros,positive frequency,length
('load_at_depot_r0_b0'  'move_r0_p0'),32,2
('move_r0_p0'  'move_r0_p0'),101,2
('move_r0_p0'  'make_treatment_r0_b0_p0'),65,2
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),42,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'),68,2
('load_r0_b0_p0'  'load_r0_b0_p0'),63,2
('load_r0_b0_p0'  'make_treatment_r0_b0_p0'),36,2
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'),32,3
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),57,3
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),39,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),42,3
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),63,3
('load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),34,3
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'),32,4
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),35,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),39,4
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),37,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),34,4
('load_at_depot_r0_b0'  'move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'),32,5
('move_r0_p0'  'move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'),35,5
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'),34,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),14,5
('load_r0_b0_p0'  'move_r0_DEPOT'),2,2
('move_r0_DEPOT'  'load_r0_b0_p0'),1,2
('make_treatment_r0_b0_p0'  'move_r0_DEPOT'),4,2
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),1,3
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),1,3
('move_r0_DEPOT'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,3
('load_r0_b0_p0'  'make_treatment_r0_b0_p0'  'move_r0_DEPOT'),3,3
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),1,4
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),1,4
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,4
('move_r0_DEPOT'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'  'move_r0_DEPOT'),1,4
('move_r0_p0'  'make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'),1,5
('make_treatment_r0_b0_p0'  'make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'),1,5
('make_treatment_r0_b0_p0'  'load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'),1,5
('load_r0_b0_p0'  'move_r0_DEPOT'  'load_r0_b0_p0'  'make_treatment_r0_b0_p0'  'move_r0_DEPOT'),1,5
('load_at_depot_r1_b0'  'move_r1_p0'),3,2
('move_r1_p0'  'move_r1_p0'),29,2
('move_r1_p0'  'make_treatment_r1_b0_p0'),25,2
('make_treatment_r1_b0_p0'  'make_treatment_r1_b0_p0'),9,2
('make_treatment_r1_b0_p0'  'load_r1_b0_p0'),32,2
('load_r1_b0_p0'  'load_r1_b0_p0'),26,2
