macros,positive frequency,length
('light_match_m1'  'mend_fuse_f1'),5,2
('mend_fuse_f1'  'mend_fuse_f1'),15,2
('mend_fuse_f1'  'light_match_m1'),5,2
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'),5,3
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),5,3
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),5,4
('light_match_m2'  'mend_fuse_f2'),8,2
('mend_fuse_f2'  'mend_fuse_f2'),29,2
('mend_fuse_f2'  'light_match_m2'),8,2
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'),8,3
('mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),8,3
('light_match_m2'  'mend_fuse_f2'  'mend_fuse_f2'  'light_match_m2'),8,4
('light_match_m3'  'mend_fuse_f3'),23,2
('mend_fuse_f3'  'mend_fuse_f3'),45,2
('mend_fuse_f3'  'light_match_m3'),23,2
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),23,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),23,3
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),23,4
('light_match_m5'  'mend_fuse_f5'),30,2
('mend_fuse_f5'  'mend_fuse_f5'),61,2
('mend_fuse_f5'  'light_match_m5'),30,2
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),30,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),30,3
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),30,4
('light_match_m6'  'mend_fuse_f6'),53,2
('mend_fuse_f6'  'mend_fuse_f6'),63,2
('mend_fuse_f6'  'light_match_m6'),53,2
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'),53,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),53,3
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),53,4
('light_match_m7'  'mend_fuse_f7'),63,2
('mend_fuse_f7'  'mend_fuse_f7'),67,2
('mend_fuse_f7'  'light_match_m7'),63,2
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),63,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),63,3
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),63,4
('light_match_m8'  'mend_fuse_f8'),70,2
('mend_fuse_f8'  'mend_fuse_f8'),75,2
('mend_fuse_f8'  'light_match_m8'),70,2
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'),70,3
('mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'),70,3
('light_match_m8'  'mend_fuse_f8'  'mend_fuse_f8'  'light_match_m8'),70,4
('light_match_m9'  'mend_fuse_f9'),76,2
('mend_fuse_f9'  'mend_fuse_f9'),81,2
('mend_fuse_f9'  'light_match_m9'),76,2
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'),76,3
('mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),76,3
('light_match_m9'  'mend_fuse_f9'  'mend_fuse_f9'  'light_match_m9'),76,4
('light_match_m10'  'mend_fuse_f10'),73,2
('mend_fuse_f10'  'mend_fuse_f10'),85,2
('mend_fuse_f10'  'light_match_m10'),73,2
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'),73,3
('mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),73,3
('light_match_m10'  'mend_fuse_f10'  'mend_fuse_f10'  'light_match_m10'),73,4
('light_match_m12'  'mend_fuse_f12'),52,2
('mend_fuse_f12'  'mend_fuse_f12'),83,2
('mend_fuse_f12'  'light_match_m12'),52,2
('light_match_m12'  'mend_fuse_f12'  'mend_fuse_f12'),52,3
('mend_fuse_f12'  'mend_fuse_f12'  'light_match_m12'),52,3
('light_match_m12'  'mend_fuse_f12'  'mend_fuse_f12'  'light_match_m12'),52,4
('light_match_m13'  'mend_fuse_f13'),81,2
