macros,positive frequency,length
('light_match_m1'  'mend_fuse_f1'),15,2
('mend_fuse_f1'  'mend_fuse_f1'),15,2
('mend_fuse_f1'  'light_match_m1'),15,2
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'),15,3
('mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),15,3
('light_match_m1'  'mend_fuse_f1'  'mend_fuse_f1'  'light_match_m1'),15,4
('light_match_m3'  'mend_fuse_f3'),5,2
('mend_fuse_f3'  'mend_fuse_f3'),31,2
('mend_fuse_f3'  'light_match_m3'),5,2
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'),5,3
('mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),5,3
('light_match_m3'  'mend_fuse_f3'  'mend_fuse_f3'  'light_match_m3'),5,4
('light_match_m4'  'mend_fuse_f4'),12,2
('mend_fuse_f4'  'mend_fuse_f4'),45,2
('mend_fuse_f4'  'light_match_m4'),12,2
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'),12,3
('mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),12,3
('light_match_m4'  'mend_fuse_f4'  'mend_fuse_f4'  'light_match_m4'),12,4
('light_match_m5'  'mend_fuse_f5'),22,2
('mend_fuse_f5'  'mend_fuse_f5'),55,2
('mend_fuse_f5'  'light_match_m5'),22,2
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'),22,3
('mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),22,3
('light_match_m5'  'mend_fuse_f5'  'mend_fuse_f5'  'light_match_m5'),22,4
('light_match_m6'  'mend_fuse_f6'),32,2
('mend_fuse_f6'  'mend_fuse_f6'),65,2
('mend_fuse_f6'  'light_match_m6'),32,2
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'),32,3
('mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),32,3
('light_match_m6'  'mend_fuse_f6'  'mend_fuse_f6'  'light_match_m6'),32,4
('light_match_m7'  'mend_fuse_f7'),30,2
('mend_fuse_f7'  'mend_fuse_f7'),75,2
('mend_fuse_f7'  'light_match_m7'),30,2
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'),30,3
('mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),30,3
('light_match_m7'  'mend_fuse_f7'  'mend_fuse_f7'  'light_match_m7'),30,4
('light_match_m8'  'mend_fuse_f8'),76,2
('mend_fuse_f8'  'mend_fuse_f8'),79,2
('mend_fuse_f8'  'light_match_m8'),76,2
